"Name","Team","G","PA","H","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","Fld","BsR","WAR","playerid"
"Freddie Lindstrom","- - -","1438","6104","1747","103","895","779","84","5.5 %","4.5 %",".138",".314",".311",".351",".449",".366","109","21.0","","34.4","1007631"
"Ron Hunt","- - -","1483","6158","1429","39","745","370","65","9.0 %","6.2 %",".074",".287",".273",".368",".347",".331","108","-40.0","","34.4","1006212"
"Leo Cardenas","- - -","1934","7402","1725","118","662","689","39","7.1 %","15.3 %",".110",".292",".257",".311",".367",".299","85","30.0","","34.4","1001938"
"Roy Sievers","- - -","1887","7349","1703","318","945","1147","14","11.4 %","12.5 %",".208",".266",".267",".354",".475",".367","121","-75.0","","34.3","1011959"
"Ray Chapman","Naps","1051","4590","1053","17","671","364","233","9.8 %","9.3 %",".099",".309",".278",".358",".377",".360","115","-26.0","","34.3","1002151"
"Lee May","- - -","2069","8219","2031","354","959","1244","39","5.9 %","19.1 %",".192",".292",".267",".313",".459",".342","116","-24.0","","34.3","1008303"
"Walker Cooper","- - -","1473","5078","1341","173","573","812","18","6.1 %","7.0 %",".178",".280",".285",".332",".464",".366","114","-15.0","","34.3","1002601"
"Sam West","- - -","1753","6972","1838","75","934","838","53","10.0 %","7.7 %",".126",".319",".299",".371",".425",".364","103","37.0","","34.3","1013813"
"Marty McManus","- - -","1831","7563","1926","120","1008","999","126","8.9 %","7.4 %",".141",".302",".289",".357",".430",".361","100","0.0","","34.2","1008637"
"Ted Kluszewski","- - -","1718","6470","1766","279","848","1028","20","7.6 %","5.6 %",".200",".280",".298",".353",".498",".378","120","-17.0","","34.2","1007020"
"Rick Ferrell","- - -","1884","7072","1692","28","687","734","29","13.2 %","3.9 %",".083",".291",".281",".378",".363",".351","98","-3.0","","34.1","1004007"
"Travis Fryman","- - -","1695","7217","1776","223","895","1022","72","8.3 %","19.0 %",".169",".313",".274",".336",".443",".341","103","7.0","1.9","33.9","385"
"Harvey Kuenn","- - -","1833","7618","2092","87","951","671","68","7.8 %","5.3 %",".105",".310",".303",".357",".408",".342","108","-69.0","","33.9","1007200"
"Billy Nash","- - -","1549","6719","1606","60","1072","977","265","12.0 %","6.4 %",".106",".292",".275",".366",".381",".358","105","40.0","","33.8","1009456"
"Aramis Ramirez","- - -","1682","6958","1788","315","873","1122","16","7.2 %","13.8 %",".215",".289",".284",".342",".500",".358","114","-39.1","-29.6","33.8","1002"
"Brian Jordan","- - -","1447","5646","1454","184","755","821","119","6.3 %","14.9 %",".173",".303",".282",".333",".455",".342","105","148.2","4.4","33.8","658"
"Tony Cuccinello","- - -","1704","6877","1729","94","730","884","42","8.4 %","7.2 %",".114",".292",".280",".343",".394",".343","104","28.0","","33.8","1002848"
"Bob Meusel","- - -","1407","6028","1693","156","826","1068","142","6.2 %","10.3 %",".187",".327",".309",".356",".497",".384","116","7.0","","33.7","1008817"
"Bill Joyce","- - -","904","4149","970","70","820","607","264","17.3 %","9.2 %",".174",".321",".294",".435",".467",".432","143","-51.0","","33.7","1006633"
"Hal McRae","- - -","2080","8059","2091","191","940","1097","109","8.0 %","9.7 %",".165",".300",".290",".351",".454",".357","122","-16.0","","33.6","1008687"
"Javy Lopez","- - -","1497","5793","1527","260","674","864","8","6.2 %","16.7 %",".204",".306",".287",".337",".491",".352","111","-15.0","-9.8","33.6","103"
"Tim McCarver","- - -","1896","6206","1501","97","590","645","61","8.8 %","6.8 %",".117",".277",".271",".337",".388",".321","99","-24.0","","33.6","1008378"
"Red Rolfe","Yankees","1174","5405","1394","69","942","497","44","9.7 %","6.2 %",".124",".300",".289",".360",".413",".358","103","40.0","","33.5","1011157"
"Jose Reyes","Mets","1050","4840","1300","81","735","423","370","6.9 %","10.5 %",".149",".314",".292",".341",".441",".346","112","15.4","18.5","33.4","1736"
"Mo Vaughn","- - -","1510","6410","1620","328","861","1064","30","11.3 %","22.3 %",".230",".338",".293",".383",".523",".386","128","-37.9","-2.6","33.4","899"
"Ray Durham","- - -","1973","8423","2054","192","1249","875","273","9.7 %","14.3 %",".158",".306",".277",".352",".436",".346","106","-80.3","16.1","33.4","230"
"Elbie Fletcher","- - -","1415","5826","1323","79","723","616","32","14.6 %","8.5 %",".119",".289",".271",".384",".390",".369","120","36.0","","33.4","1004150"
"Red Smith","- - -","1117","4517","1087","27","477","514","117","9.3 %","9.2 %",".099",".306",".278",".353",".377",".354","120","-11.0","","33.2","1012197"
"Buddy Lewis","Senators","1349","5937","1563","71","830","607","83","9.7 %","5.1 %",".123",".305",".297",".368",".420",".364","109","8.0","","33.1","1007578"
"Bill Russell","Dodgers","2153","8021","1926","46","796","627","167","6.0 %","8.3 %",".074",".282",".263",".310",".338",".292","83","74.0","","33.0","1011311"
"Edgardo Alfonzo","- - -","1495","6108","1532","146","777","744","53","9.8 %","10.1 %",".140",".296",".284",".357",".425",".345","108","32.5","-1.7","33.0","859"
"Tino Martinez","- - -","2017","8044","1925","339","1009","1271","27","9.7 %","13.3 %",".200",".274",".271",".344",".471",".350","111","56.9","-8.4","33.0","1168"
"John Valentin","- - -","1099","4511","1093","124","614","558","47","10.3 %","11.6 %",".175",".293",".279",".360",".454",".357","109","73.7","1.3","32.8","1375"
"Ryan Klesko","- - -","1727","6523","1564","278","874","987","91","12.5 %","16.5 %",".222",".298",".279",".370",".500",".372","127","-47.9","0.0","32.8","1041"
"Ed Bailey","- - -","1212","4208","915","155","432","540","17","13.0 %","13.7 %",".174",".263",".256",".355",".429",".346","110","30.0","","32.7","1000421"
"Eric Chavez","- - -","1373","5580","1318","232","746","813","47","10.4 %","17.1 %",".208",".286",".267",".342",".474",".348","112","35.6","2.7","32.7","906"
"Elmer Valo","- - -","1806","6091","1420","58","768","601","110","15.5 %","4.7 %",".109",".290",".282",".398",".391",".371","117","4.0","","32.7","1013335"
"Baby Doll Jacobson","- - -","1472","6072","1714","83","787","821","86","5.8 %","6.8 %",".139",".325",".311",".357",".450",".373","108","24.0","","32.4","1006316"
"Denis Menke","- - -","1586","5934","1270","101","605","606","34","11.8 %","14.4 %",".120",".280",".250",".343",".370",".319","103","-30.0","","32.3","1008766"
"Manny Sanguillen","- - -","1441","5380","1500","65","566","585","36","4.1 %","6.2 %",".102",".305",".296",".326",".398",".319","98","41.0","","32.3","1011434"
"Luis Castillo","- - -","1719","7471","1889","28","1001","443","370","10.7 %","11.4 %",".061",".329",".290",".368",".351",".328","98","15.2","23.6","32.3","513"
"Ossie Bluege","Senators","1867","7452","1751","43","883","848","140","9.7 %","6.9 %",".084",".290",".272",".352",".356",".334","88","73.0","","32.3","1001090"
"Jose Valentin","- - -","1659","6317","1348","249","872","816","136","10.0 %","20.5 %",".204",".272",".243",".321",".448",".331","95","73.4","1.8","32.2","256"
"Hal Chase","- - -","1919","7939","2158","57","980","941","363","3.5 %","8.4 %",".100",".317",".291",".319",".391",".344","111","-65.0","","32.2","1002163"
"Denny Lyons","- - -","1121","5010","1333","62","932","755","224","12.4 %","6.7 %",".132",".320",".310",".407",".443",".401","128","-28.0","","31.9","1007880"
"George Kelly","- - -","1622","6565","1778","148","819","1020","65","5.9 %","10.6 %",".156",".316",".297",".342",".452",".364","109","52.0","","31.9","1006799"
"Bing Miller","- - -","1820","6885","1934","116","946","992","127","5.6 %","4.9 %",".150",".316",".311",".359",".461",".373","108","32.0","","31.9","1008871"
"Arlie Latham","- - -","1627","7502","1833","27","1478","563","739","7.8 %","5.8 %",".073",".282",".269",".334",".341",".339","99","90.0","","31.8","1007371"
"Doug Rader","- - -","1461","5832","1302","155","631","722","37","9.1 %","18.1 %",".152",".285",".251",".322",".403",".326","105","-6.0","","31.8","1010638"
"Mickey Tettleton","- - -","1461","5745","1132","245","711","732","23","16.5 %","22.8 %",".208",".278",".241",".369",".449",".361","120","-54.0","","31.8","1012939"
"Hans Lobert","- - -","1317","5227","1252","32","640","482","316","7.6 %","5.0 %",".092",".296",".274",".337",".366",".349","112","-61.0","","31.6","1007684"
"Ray Boone","- - -","1373","5297","1260","151","645","737","21","11.5 %","8.7 %",".154",".277",".275",".361",".429",".359","114","-16.0","","31.6","1001189"
